"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"91",2018,"guanajuato",1,0,3,0,0,4,3,1,3,0,0,1,0,0,0,0
"92",2019,"guanajuato",3,6,4,6,15,3,9,7,1,9,2,3,0,2,0,1
"93",2020,"guanajuato",1,3,2,3,4,5,1,1,0,3,2,2,2,1,1,0
"94",2021,"guanajuato",0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0
"95",2022,"guanajuato",0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0
"96",2023,"guanajuato",7,30,30,32,17,19,25,12,11,18,8,6,7,7,4,4
"97",2016,"guerrero",65,119,190,231,162,152,94,80,63,48,58,51,35,38,29,36
"98",2017,"guerrero",16,25,24,39,27,26,14,21,19,15,9,12,16,9,9,20
"99",2018,"guerrero",24,30,31,25,26,12,13,12,9,17,7,11,9,5,3,14
"100",2019,"guerrero",155,456,455,343,228,190,163,145,123,116,72,105,60,41,20,45
"101",2020,"guerrero",39,276,262,164,90,83,73,65,47,44,41,39,20,23,12,18
"102",2021,"guerrero",18,107,95,68,30,24,22,11,10,13,8,8,4,5,2,10
"103",2022,"guerrero",38,110,151,94,44,41,37,15,17,14,16,10,6,4,5,9
"104",2023,"guerrero",205,832,1277,829,419,306,260,192,143,153,102,97,69,69,41,66
"105",2016,"hidalgo",0,1,1,5,1,2,1,1,3,0,0,1,0,1,2,2
"106",2017,"hidalgo",4,1,8,7,5,3,3,7,3,4,4,2,0,0,0,0
"107",2018,"hidalgo",1,1,2,3,1,3,5,3,4,2,1,4,3,1,0,0
"108",2019,"hidalgo",6,15,13,16,9,10,19,12,21,6,11,9,12,6,5,3
"109",2020,"hidalgo",2,5,6,5,11,5,5,6,3,5,3,2,4,1,1,1
"110",2021,"hidalgo",0,1,0,2,1,2,0,3,0,0,1,1,0,1,0,0
"111",2022,"hidalgo",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
