"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"111",2022,"hidalgo",0,1,1,5,1,2,2,1,1,1,0,1,1,1,1,0
"112",2023,"hidalgo",25,69,114,112,78,95,85,79,54,55,41,26,17,25,8,10
"113",2016,"jalisco",377,959,1440,1568,1659,1566,1304,1123,1067,827,663,465,317,235,149,195
"114",2017,"jalisco",242,527,915,1016,1118,1098,1009,908,781,653,516,399,275,200,121,134
"115",2018,"jalisco",389,990,1370,1382,1284,1316,1186,944,855,745,579,479,286,183,127,141
"116",2019,"jalisco",2404,4792,7022,6980,7735,7492,6488,5901,5243,5137,4209,3294,2337,1658,1150,1444
"117",2020,"jalisco",285,735,1050,1275,1901,2003,1787,1587,1379,1253,953,662,416,296,187,246
"118",2021,"jalisco",42,69,86,106,178,212,190,147,118,99,68,48,38,15,11,17
"119",2022,"jalisco",28,35,41,52,80,72,74,62,53,46,48,33,18,9,9,8
"120",2023,"jalisco",68,157,205,200,303,316,292,270,208,177,161,123,62,47,35,34
"121",2016,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2017,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2018,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2019,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2020,"m'exico",17,46,73,54,60,54,63,52,41,32,31,27,19,10,3,12
"126",2021,"m'exico",9,31,40,50,33,37,32,29,27,24,19,12,12,11,6,4
"127",2022,"m'exico",55,188,292,292,255,247,217,196,175,124,136,95,83,47,28,35
"128",2023,"m'exico",136,269,394,295,197,195,219,182,155,133,107,98,64,62,29,44
"129",2016,"mexico",24,52,114,162,130,120,98,78,77,77,59,62,17,22,7,15
