"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"110",2021,"hidalgo",0,0,1,3,4,6,3,3,4,0,0,0,0,3,0,0
"111",2022,"hidalgo",0,1,1,5,1,2,2,1,0,1,0,1,1,0,1,0
"112",2023,"hidalgo",23,64,107,106,73,90,77,71,50,52,39,26,16,22,7,10
"113",2016,"jalisco",361,923,1390,1493,1570,1503,1257,1079,1038,788,636,440,298,222,140,166
"114",2017,"jalisco",227,495,885,979,1078,1053,969,881,758,634,492,382,266,189,112,120
"115",2018,"jalisco",349,936,1295,1284,1199,1235,1097,890,803,692,539,426,256,162,112,118
"116",2019,"jalisco",2212,4449,6234,6220,6991,6793,5897,5319,4712,4686,3796,2914,2026,1348,934,1084
"117",2020,"jalisco",241,635,903,1152,1780,1885,1648,1474,1289,1149,883,607,356,259,155,196
"118",2021,"jalisco",40,59,78,99,175,202,176,138,113,90,63,40,34,13,7,13
"119",2022,"jalisco",21,27,38,45,72,68,67,57,46,39,42,27,15,7,8,6
"120",2023,"jalisco",59,134,185,172,274,285,264,255,188,163,145,111,54,39,30,24
"121",2016,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2017,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2018,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2019,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2020,"m'exico",14,31,57,44,50,50,44,43,34,31,27,24,17,9,3,9
"126",2021,"m'exico",9,24,36,40,30,32,30,26,22,22,16,8,11,7,4,2
"127",2022,"m'exico",44,163,252,254,221,215,192,167,150,101,104,75,66,32,19,19
"128",2023,"m'exico",122,243,348,265,170,170,177,146,119,108,94,80,47,46,21,39
"129",2016,"mexico",19,47,102,148,119,107,86,66,71,68,50,57,16,20,7,13
"130",2017,"mexico",14,51,101,128,125,123,93,81,69,60,50,43,36,26,13,15
"131",2018,"mexico",11,16,34,38,46,37,34,32,25,23,21,10,15,10,4,7
"132",2019,"mexico",5,37,49,44,38,47,47,37,32,36,26,13,21,7,5,11
"133",2020,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2021,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2022,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2023,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2016,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2017,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2018,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2019,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2020,"michoac'an de ocampo",179,418,562,599,834,935,823,673,582,532,399,264,176,110,66,62
"142",2021,"michoac'an de ocampo",18,59,71,49,53,59,51,39,37,26,17,20,10,4,3,7
"143",2022,"michoac'an de ocampo",18,34,42,25,26,24,19,33,22,25,10,16,8,3,1,2
"144",2023,"michoac'an de ocampo",47,137,166,141,144,149,146,139,113,89,84,60,38,30,13,14
"145",2016,"michoacan",147,231,339,346,427,473,382,379,313,260,211,163,105,77,38,36
"146",2017,"michoacan",51,74,77,102,77,107,85,85,78,58,48,30,24,10,9,14
"147",2018,"michoacan",41,77,84,98,63,65,78,62,73,53,43,32,22,12,7,8
"148",2019,"michoacan",180,332,359,316,259,276,190,190,154,147,112,79,68,30,22,26
"149",2020,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2021,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",2022,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",2023,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",2016,"morelos",211,562,812,749,756,671,652,564,525,402,341,253,197,111,54,92
"154",2017,"morelos",89,204,294,313,289,303,232,230,203,162,137,106,74,53,23,20
"155",2018,"morelos",55,86,117,119,107,106,109,84,89,61,60,37,29,15,14,9
"156",2019,"morelos",301,709,1104,955,712,765,680,580,502,515,363,353,229,142,71,104
"157",2020,"morelos",67,187,237,234,266,271,269,224,177,188,136,108,57,47,26,26
"158",2021,"morelos",75,188,241,244,228,245,214,178,142,135,95,67,51,35,21,14
"159",2022,"morelos",71,126,203,167,176,176,154,129,121,100,85,50,33,21,17,11
"160",2023,"morelos",862,2245,2886,2382,2759,2996,2810,2365,1972,1797,1485,1090,733,452,341,326
"161",2016,"nayarit",94,241,314,325,286,285,220,218,206,167,130,73,73,69,28,55
"162",2017,"nayarit",77,157,191,198,229,236,241,216,170,139,118,80,63,38,30,38
"163",2018,"nayarit",23,56,71,64,80,78,81,61,46,45,27,24,16,9,3,6
"164",2019,"nayarit",239,487,652,531,542,530,489,450,367,329,239,176,102,70,64,56
"165",2020,"nayarit",127,381,470,413,519,572,597,472,433,357,289,174,127,87,69,64
"166",2021,"nayarit",16,10,26,35,49,45,46,25,28,21,16,7,6,6,4,3
"167",2022,"nayarit",14,24,22,24,31,33,23,26,18,8,20,5,8,2,4,5
"168",2023,"nayarit",29,131,181,119,121,122,129,129,93,71,68,46,25,15,8,12
"169",2016,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",2017,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",2018,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",2019,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",2020,"nuevo le'on",52,175,318,395,788,804,592,477,428,404,305,188,96,54,31,25
"174",2021,"nuevo le'on",6,12,11,14,32,39,23,25,25,9,15,8,3,2,3,1
"175",2022,"nuevo le'on",5,7,7,9,16,14,16,11,8,10,7,8,1,1,0,0
"176",2023,"nuevo le'on",4,8,12,5,15,24,16,19,17,7,14,7,2,4,3,0
"177",2016,"nuevo leon",33,81,160,190,206,225,186,219,209,208,176,128,66,46,33,51
"178",2017,"nuevo leon",223,530,961,899,937,845,742,676,726,691,461,336,237,165,119,103
"179",2018,"nuevo leon",132,332,523,516,504,444,347,364,363,325,240,197,118,74,63,58
"180",2019,"nuevo leon",84,191,279,313,326,352,218,218,215,242,123,116,64,51,34,32
"181",2020,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",2021,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2022,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",2023,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2016,"oaxaca",97,118,214,204,220,237,222,172,151,135,119,65,53,31,22,23
"186",2017,"oaxaca",92,132,192,137,135,131,94,66,64,45,48,32,27,19,10,9
"187",2018,"oaxaca",269,518,547,405,293,246,190,155,128,119,70,63,62,26,18,36
"188",2019,"oaxaca",752,1429,1843,1515,1188,1232,1008,791,702,557,422,313,215,157,89,104
"189",2020,"oaxaca",79,165,236,194,260,333,282,212,186,153,109,78,41,35,29,32
"190",2021,"oaxaca",96,191,296,252,262,317,249,209,160,130,98,74,55,41,12,23
"191",2022,"oaxaca",148,293,408,311,316,355,282,258,219,182,155,116,75,57,36,46
"192",2023,"oaxaca",663,1576,2166,1774,1651,1708,1697,1471,1105,956,857,646,476,384,225,269
"193",2016,"puebla",27,80,136,145,149,130,133,122,111,103,82,54,49,22,18,22
"194",2017,"puebla",37,109,198,232,191,191,134,147,91,94,48,61,38,24,22,15
"195",2018,"puebla",17,23,63,51,53,65,48,34,17,15,12,13,9,4,2,2
"196",2019,"puebla",162,430,677,602,492,499,418,368,294,272,194,160,128,72,37,43
"197",2020,"puebla",76,214,288,267,360,377,304,269,264,165,144,108,68,51,18,27
"198",2021,"puebla",13,25,46,38,46,52,50,42,23,19,23,17,18,7,4,9
"199",2022,"puebla",11,54,64,57,32,48,62,39,20,19,11,10,10,3,1,6
"200",2023,"puebla",217,666,944,672,575,584,614,473,360,334,236,174,121,102,51,84
"201",2016,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",2017,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",2018,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",2019,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",2020,"quer'etaro",4,16,32,53,56,62,47,37,29,28,25,17,11,10,6,7
"206",2021,"quer'etaro",0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
"207",2022,"quer'etaro",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
"208",2023,"quer'etaro",1,12,15,13,12,19,11,11,12,11,7,3,8,1,0,1
"209",2016,"queretaro",3,1,4,0,3,5,4,4,4,3,3,0,4,0,1,1
"210",2017,"queretaro",4,5,14,10,13,20,14,17,11,8,9,12,7,2,1,1
"211",2018,"queretaro",1,1,1,0,1,1,1,5,1,0,0,0,0,0,0,1
"212",2019,"queretaro",2,3,8,7,8,10,13,11,6,5,3,2,1,1,2,0
"213",2020,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",2021,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",2022,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",2023,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",2016,"quintana roo",91,143,196,208,253,219,206,182,154,126,90,52,41,18,12,20
"218",2017,"quintana roo",20,33,53,60,59,42,43,38,26,20,20,18,14,10,5,6
"219",2018,"quintana roo",34,48,87,70,72,65,50,53,27,34,18,15,14,6,2,9
"220",2019,"quintana roo",341,625,964,692,714,752,602,443,314,254,191,129,67,37,26,21
"221",2020,"quintana roo",44,71,101,72,104,139,88,80,71,42,45,25,16,3,11,6
"222",2021,"quintana roo",6,6,7,15,15,28,19,18,12,10,10,3,1,4,2,3
"223",2022,"quintana roo",40,138,166,135,165,190,151,108,66,69,41,11,12,8,2,3
"224",2023,"quintana roo",607,1233,1566,1577,2436,2329,1986,1492,1124,850,666,434,266,112,68,41
"225",2016,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",2017,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",2018,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",2019,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",2020,"san luis potos'i",105,352,541,550,656,687,603,505,381,310,221,171,125,90,67,89
"230",2021,"san luis potos'i",8,16,28,31,39,38,40,28,20,14,14,11,10,6,7,6
"231",2022,"san luis potos'i",1,0,4,4,2,2,1,3,4,2,3,2,0,0,1,1
"232",2023,"san luis potos'i",30,86,159,132,104,105,110,107,97,78,61,57,36,37,16,23
"233",2016,"san luis potosi",7,16,27,22,17,20,23,16,17,7,10,7,5,2,3,7
"234",2017,"san luis potosi",2,16,11,18,16,15,13,10,13,13,13,7,12,8,6,7
"235",2018,"san luis potosi",38,111,183,140,130,131,123,102,68,49,38,26,18,15,15,17
"236",2019,"san luis potosi",253,620,1109,1129,877,893,755,554,376,322,230,218,139,107,57,92
"237",2020,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",2021,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",2022,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",2023,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",2016,"sinaloa",86,190,349,342,370,332,303,276,287,211,182,152,91,41,37,44
"242",2017,"sinaloa",34,54,101,115,143,151,133,132,105,88,65,62,33,12,8,12
"243",2018,"sinaloa",45,84,147,138,159,152,153,137,141,123,74,68,33,22,10,16
"244",2019,"sinaloa",30,58,114,119,87,78,74,65,61,59,36,31,28,9,6,8
"245",2020,"sinaloa",69,177,267,284,205,210,143,131,114,102,76,53,33,21,16,19
"246",2021,"sinaloa",74,172,331,273,328,320,243,189,182,189,136,98,73,47,27,41
"247",2022,"sinaloa",67,132,201,178,185,173,145,110,109,92,71,46,36,32,13,27
"248",2023,"sinaloa",44,110,128,91,85,81,66,80,55,30,43,33,11,12,5,12
"249",2016,"sonora",13,15,33,57,40,31,27,28,38,28,17,11,12,7,5,5
"250",2017,"sonora",21,25,41,42,36,48,44,28,35,32,24,22,24,5,2,4
"251",2018,"sonora",11,28,51,44,65,39,50,41,38,41,24,24,14,10,3,4
"252",2019,"sonora",29,94,190,187,180,194,149,130,113,88,80,58,56,27,16,8
"253",2020,"sonora",0,3,3,8,4,6,1,7,9,4,5,7,2,1,1,1
"254",2021,"sonora",2,7,26,16,25,20,20,23,18,12,7,6,10,4,2,1
"255",2022,"sonora",131,349,626,599,743,675,606,479,422,410,311,227,160,99,73,81
"256",2023,"sonora",10,16,19,10,10,11,13,7,6,10,3,6,2,0,0,3
"257",2016,"tabasco",174,288,408,372,569,553,488,417,295,221,186,135,90,44,26,36
"258",2017,"tabasco",23,36,60,55,77,79,63,40,44,32,30,16,10,6,4,1
"259",2018,"tabasco",21,50,47,54,65,86,66,49,39,35,19,21,17,5,2,3
"260",2019,"tabasco",291,561,729,606,534,491,453,362,313,216,194,119,94,80,28,32
"261",2020,"tabasco",114,216,257,214,222,252,182,175,150,116,96,64,43,30,8,10
"262",2021,"tabasco",11,15,40,31,31,37,35,31,24,13,16,8,0,5,1,0
"263",2022,"tabasco",110,289,403,313,266,275,250,234,176,112,88,61,35,32,11,13
"264",2023,"tabasco",293,775,1001,810,709,655,652,563,471,353,278,217,132,82,47,49
"265",2016,"tamaulipas",159,365,615,576,649,562,506,516,491,428,298,229,136,61,42,42
"266",2017,"tamaulipas",162,268,494,438,409,334,316,334,288,248,238,149,102,49,43,39
"267",2018,"tamaulipas",48,99,104,101,90,97,68,61,66,52,47,40,19,30,7,6
"268",2019,"tamaulipas",147,384,666,612,452,427,352,332,310,274,223,146,115,46,35,30
"269",2020,"tamaulipas",300,790,1320,1235,1683,1502,1226,986,894,829,581,396,230,112,73,78
"270",2021,"tamaulipas",18,13,18,48,86,87,51,51,44,53,34,16,8,2,8,4
"271",2022,"tamaulipas",6,8,29,18,17,17,14,16,13,6,13,7,7,3,0,2
"272",2023,"tamaulipas",7,46,52,44,67,67,52,41,42,32,35,20,14,12,6,11
"273",2016,"tlaxcala",NA,NA,NA,1,1,1,1,4,0,1,3,0,0,0,1,0
"274",2017,"tlaxcala",NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0
"275",2018,"tlaxcala",NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0
"276",2019,"tlaxcala",NA,NA,NA,2,2,3,5,2,4,3,0,2,2,3,2,1
"277",2020,"tlaxcala",NA,NA,NA,0,1,1,1,0,1,1,1,1,0,0,0,0
"278",2021,"tlaxcala",NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"279",2022,"tlaxcala",NA,NA,NA,0,2,2,0,0,0,0,0,0,0,0,0,0
"280",2023,"tlaxcala",NA,NA,NA,1,1,2,1,0,0,0,3,2,0,0,0,0
"281",2016,"veracruz",419,665,953,1072,1259,1382,1188,979,915,796,696,467,331,174,135,134
"282",2017,"veracruz",168,280,349,328,317,316,263,219,191,156,132,106,73,49,37,39
"283",2018,"veracruz",488,1050,1276,1059,1029,1141,912,702,581,518,448,300,224,132,93,79
"284",2019,"veracruz",1692,3641,4788,4212,3586,3788,3319,2789,2345,2093,1723,1313,982,600,385,451
"285",2020,"veracruz",150,412,498,461,480,521,426,326,310,246,200,148,99,63,35,47
"286",2021,"veracruz",53,100,161,117,143,162,173,131,94,97,78,52,46,18,15,12
"287",2022,"veracruz",107,236,332,272,253,226,220,183,178,131,118,81,55,31,24,16
"288",2023,"veracruz",680,1890,2914,2262,2822,3017,2877,2389,2013,1738,1521,1120,726,541,267,293
"289",2016,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",2017,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",2018,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292",2019,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",2020,"yucat'an",16,33,61,58,65,53,57,56,38,38,22,11,10,4,2,4
"294",2021,"yucat'an",4,3,1,4,7,13,8,9,7,5,8,7,0,1,0,0
"295",2022,"yucat'an",42,79,145,128,128,80,68,46,21,40,31,20,9,4,4,4
"296",2023,"yucat'an",2000,4455,5757,4624,4975,3845,2812,2219,1858,1691,1311,841,508,305,213,181
"297",2016,"yucatan",230,323,445,449,508,461,354,318,258,168,146,105,74,46,35,43
"298",2017,"yucatan",68,76,72,79,120,103,66,69,56,44,30,24,18,9,6,8
"299",2018,"yucatan",26,41,41,36,53,39,25,32,24,19,13,12,9,5,1,1
"300",2019,"yucatan",147,317,498,402,312,287,228,172,146,105,62,47,32,25,10,10
"301",2020,"yucatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
