"","NOM_ENT","Year","1A4","5A9","10A14","15A19","20A24","25A29","30A34","35A39","40A44","45A49","50A54","55A59","60A64","65A69","70A74","75YMAS"
"45","chihuahua","2020",241821.677302148,317971.135901645,334397.670559928,327000.569428503,314709.477247786,298909.221132871,276207.876492878,264208.379601953,252498.473909481,249030.393847728,220379.904068576,173994.207986921,141149.15503571,101150.498050736,74169.4163567857,104210.745525048
"46","chihuahua","2021",238093.382248059,313586.246443098,332398.712343791,328251.510154184,315482.692627921,305215.148117276,279757.832991779,265971.418615991,252447.852934228,255624.337771629,228646.959822182,180868.028883736,148307.766836486,104531.224024146,76507.2056173011,109180.677714069
"47","chihuahua","2022",234422.568327034,309261.825540947,330411.703475097,329507.236353791,316257.807734844,311654.107849824,283353.415239316,267746.222232536,252397.242107485,262392.879244849,237224.135553024,188013.40717472,155829.439421446,108024.943095242,78918.6810262996,114387.631774865
"48","chihuahua","2023",230808.34932148,304997.039320965,328436.572523187,330767.766334157,317034.827236026,318228.906850813,286995.209639558,269532.868955733,252346.641427217,269340.641343436,246123.064713585,195441.071015209,163732.586016043,111635.43180203,81406.1651406389,119842.911557381
"49","ciudad de m'exico","2016",440210.767162324,597879.018001755,627322.645788814,651196.187950884,740902.320789437,723298.892212106,726850.303377557,692498.875263372,688046.554390403,606203.69353251,587419.955993908,481160.487679814,418676.236023643,314911.446093971,235204.036493916,349487.263273513
"50","ciudad de m'exico","2017",429467.342300489,589352.857495149,622844.035753865,651164.508980964,734430.605640927,730630.950561598,731195.855584909,695994.722929572,683746.859612466,621477.019609661,596391.182862724,492231.801720458,430957.464823501,324845.707171492,243011.626704305,361162.643214336
"51","ciudad de m'exico","2018",418986.112701405,580948.285823064,618397.39961302,651132.831552143,728015.420342289,738037.333758285,735567.388140482,699508.218206971,679474.034201239,637135.157742475,605499.420588442,503557.862353402,443598.944738317,335093.356486818,251078.389613437,373228.064541749
"52","ciudad de m'exico","2019",408760.679441387,572663.569046215,613982.509096816,651101.155664344,721656.271110366,745518.795230829,739965.056370565,703039.450183596,675227.910246462,653187.803285942,614746.761635691,515144.531197789,456611.243185079,345664.280249588,259412.928450472,385696.557434129
"53","ciudad de m'exico","2020",398784.79976366,564496.997952462,609599.137565462,651069.481317494,715352.668475155,753076.096045376,744389.016530081,706588.50839721,671008.320887169,669644.895869904,624135.330425753,526997.804746314,470005.237559832,356568.676541833,268024.13202848,398581.587371219
"54","ciudad de m'exico","2021",389052.38326708,556446.887704194,605247.059997206,651037.808511516,709104.127242129,760710.004982973,748839.425808139,710155.482837573,666815.100305131,686516.62555357,633667.28382461,539123.817468619,483792.124330443,367817.065156375,276921.184224383,411897.069676317
"55","ciudad de m'exico","2022",379557.488187864,548511.577490725,600926.052976778,651006.137246337,702910.16645489,768421.298617778,753316.44233362,713740.463948731,662648.083718337,703813.439135097,643344.811638453,551528.844986086,497983.428396088,379420.297745579,286113.573773597,425657.38454427
"56","ciudad de m'exico","2023",370294.317772068,540689.430185659,596635.894683928,650974.467521881,696770.309358154,776210.761396059,757820.225180797,717343.542631306,658507.107374522,721546.046620133,653170.137116745,564219.307319679,512591.012721281,391389.568290259,295611.104389794,439877.392571521
"57","coahuila","2016",226632.861624505,271676.62408261,279452.671652555,269876.627131094,259281.559612217,220889.97396715,217402.431050425,219411.731834967,214748.89191991,179371.841004085,158931.276761323,125515.362940786,98571.0321273432,74668.0502810928,51642.2837602848,73370.7351660416
"58","coahuila","2017",227535.411443284,272940.051909455,276717.059288364,269860.490952617,260658.005098199,227008.361677217,219221.106543479,219574.797114532,215832.406840433,185598.22133211,163627.086324101,129560.235702552,103363.165935257,77033.1630845009,54014.4458922061,75814.4130491048
"59","coahuila","2018",228441.55560478,274209.35528735,274008.226324646,269844.355738937,262041.757706903,233296.221398613,221054.996128359,219737.983583083,216921.388632391,192040.732641297,168461.639046181,133735.459006876,108388.274339635,79473.1909091502,56495.5720894316,78339.47980721
